Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Delhi, 31-01-2023, M, 13.42, 155477.00, 31.91
Delhi, 28-02-2023, M, 9.25, 155704.00, 30.35
Goa, 31-01-2016, M, 12.29, 196982.00, 49.31
Goa, 29-02-2016, M, 5.40, 211252.00, 48.99
Goa, 31-03-2016, M, 7.26, 230237.00, 54.42
Goa, 31-05-2016, M, 14.58, 200947.00, 51.47
Goa, 30-06-2016, M, 7.80, 213994.00, 50.74
Goa, 31-07-2016, M, 4.27, 221852.00, 50.62
Goa, 31-08-2016, M, 12.50, 227317.00, 56.69
Goa, 30-09-2016, M, 11.36, 228587.00, 56.23
Goa, 31-10-2016, M, 8.78, 213007.00, 50.87
Goa, 30-11-2016, M, 18.18, 213420.00, 56.77
Goa, 31-12-2016, M, 7.81, 233892.00, 55.17
Goa, 31-01-2017, M, 8.02, 225591.00, 53.29
Goa, 28-02-2017, M, 8.79, 213591.00, 50.84
Goa, 31-03-2017, M, 16.11, 207306.00, 53.60
Goa, 30-04-2017, M, 5.76, 232012.00, 53.35
Goa, 31-05-2017, M, 8.40, 232870.00, 55.04
Goa, 30-06-2017, M, 7.49, 214974.00, 50.27
Goa, 31-07-2017, M, 4.42, 212631.00, 48.09
Goa, 31-08-2017, M, 9.16, 230573.00, 54.81
Goa, 30-09-2017, M, 2.44, 218109.00, 48.24
Goa, 31-10-2017, M, 8.77, 202711.00, 47.90
Goa, 30-11-2017, M, 2.63, 215636.00, 47.70
Goa, 31-12-2017, M, 5.71, 227529.00, 51.93
Goa, 31-01-2018, M, 10.00, 195755.00, 46.76
Goa, 28-02-2018, M, 5.75, 199849.00, 45.55
Goa, 31-03-2018, M, 4.00, 209009.00, 46.73
Goa, 30-04-2018, M, 6.88, 221279.00, 50.96
Goa, 31-05-2018, M, 5.47, 200979.00, 45.55
Goa, 30-06-2018, M, 7.58, 202815.00, 46.98
Goa, 31-07-2018, M, 5.17, 204092.00, 46.03
Goa, 31-08-2018, M, 6.25, 210397.00, 47.96
Goa, 30-09-2018, M, 5.79, 203023.00, 46.01
Goa, 31-10-2018, M, 1.05, 198499.00, 42.79
Goa, 30-11-2018, M, 1.77, 205855.00, 44.66
Goa, 31-12-2018, M, 7.22, 212538.00, 48.78
Goa, 31-01-2019, M, 4.46, 181567.00, 40.43
Goa, 28-02-2019, M, 6.25, 193322.00, 43.84
Goa, 31-03-2019, M, 8.74, 179185.00, 41.70
Goa, 30-04-2019, M, 7.25, 201737.00, 46.15
Goa, 31-05-2019, M, 2.91, 179340.00, 39.16
Goa, 30-06-2019, M, 5.45, 170471.00, 38.19
Goa, 31-07-2019, M, 10.98, 167437.00, 39.81
Goa, 31-08-2019, M, 1.98, 183603.00, 39.61
Goa, 30-09-2019, M, 3.41, 162885.00, 35.63
Goa, 31-10-2019, M, 7.21, 177440.00, 40.36
Goa, 30-11-2019, M, 23.71, 159489.00, 44.09
Goa, 31-12-2019, M, 3.54, 177155.00, 38.70
Goa, 31-01-2020, M, 5.38, 158936.00, 35.36
Goa, 29-02-2020, M, 0.00, 171672.00, 36.11
Goa, 30-04-2020, M, 15.91, 181657.00, 45.36
Goa, 31-05-2020, M, 20.00, 128538.00, 33.71
Goa, 31-07-2020, M, 16.36, 177137.00, 44.35
Goa, 30-09-2020, M, 1.52, 156241.00, 33.17
Goa, 31-10-2020, M, 18.00, 145403.00, 37.04
Goa, 30-11-2020, M, 14.29, 153337.00, 37.33
Goa, 31-12-2020, M, 17.92, 150093.00, 38.13
Goa, 31-01-2021, M, 8.70, 162592.00, 37.10
Goa, 28-02-2021, M, 21.67, 151542.00, 40.27
Goa, 31-03-2021, M, 31.82, 140054.00, 42.72
Goa, 30-04-2021, M, 15.00, 138670.00, 33.90
Goa, 31-05-2021, M, 16.07, 159434.00, 39.44
Goa, 30-06-2021, M, 21.43, 131485.00, 34.71
Goa, 31-07-2021, M, 25.37, 138661.00, 38.51
Goa, 31-08-2021, M, 12.50, 164250.00, 38.87
Goa, 30-09-2021, M, 18.31, 148342.00, 37.57
Goa, 31-10-2021, M, 11.11, 143355.00, 33.33
Goa, 30-11-2021, M, 14.29, 142598.00, 34.36
Goa, 31-01-2022, M, 14.71, 147309.00, 35.60
Goa, 28-02-2022, M, 8.70, 125869.00, 28.40
Goa, 30-04-2022, M, 18.09, 171784.00, 43.12
Goa, 31-05-2022, M, 15.56, 151621.00, 36.89
Goa, 31-12-2022, M, 3.51, 167320.00, 35.40
Gujarat, 31-01-2016, M, 2.31, 12454838.00, 48.97
Gujarat, 29-02-2016, M, 4.90, 11231726.00, 45.30
Gujarat, 31-03-2016, M, 2.47, 12152621.00, 47.72
Gujarat, 30-04-2016, M, 2.02, 12897823.00, 50.35
Gujarat, 31-05-2016, M, 1.48, 13873626.00, 53.78
Gujarat, 30-06-2016, M, 2.93, 11496245.00, 45.16
Gujarat, 31-07-2016, M, 1.65, 12637358.00, 48.92
Gujarat, 31-08-2016, M, 0.80, 12307651.00, 47.17
Gujarat, 30-09-2016, M, 1.01, 13150390.00, 50.43
Gujarat, 31-10-2016, M, 1.47, 12618305.00, 48.54
Gujarat, 30-11-2016, M, 1.72, 13034827.00, 50.20
Gujarat, 31-12-2016, M, 6.25, 11854052.00, 47.79
Gujarat, 31-01-2017, M, 1.23, 13221793.00, 50.52
Gujarat, 28-02-2017, M, 0.91, 11953144.00, 45.46
Gujarat, 31-03-2017, M, 5.32, 11977927.00, 47.60
Gujarat, 30-04-2017, M, 5.14, 11854565.00, 46.96
Gujarat, 31-05-2017, M, 2.70, 11716313.00, 45.18
Gujarat, 30-06-2017, M, 3.59, 11730423.00, 45.58
Gujarat, 31-07-2017, M, 2.92, 12120704.00, 46.70
Gujarat, 31-08-2017, M, 2.24, 12277389.00, 46.91
Gujarat, 30-09-2017, M, 3.36, 11044703.00, 42.63
Gujarat, 31-10-2017, M, 4.86, 11348119.00, 44.42
Gujarat, 30-11-2017, M, 3.23, 12887989.00, 49.53
Gujarat, 31-12-2017, M, 1.47, 12655392.00, 47.69
Gujarat, 31-01-2018, M, 3.00, 11544838.00, 44.13
Gujarat, 28-02-2018, M, 11.12, 11495243.00, 47.89
Gujarat, 31-03-2018, M, 5.46, 12701625.00, 49.67
Gujarat, 30-04-2018, M, 4.63, 13121908.00, 50.79
Gujarat, 31-05-2018, M, 5.71, 11179972.00, 43.70
Gujarat, 30-06-2018, M, 6.09, 11556778.00, 45.30
Gujarat, 31-07-2018, M, 5.22, 12867557.00, 49.89
Gujarat, 31-08-2018, M, 2.51, 13373766.00, 50.34
Gujarat, 30-09-2018, M, 4.51, 12607752.00, 48.38
Gujarat, 31-10-2018, M, 7.94, 12253250.00, 48.70
Gujarat, 30-11-2018, M, 5.31, 13840682.00, 53.40
Gujarat, 31-12-2018, M, 3.67, 13487829.00, 51.08
Gujarat, 31-01-2019, M, 5.91, 13698898.00, 53.03
Gujarat, 28-02-2019, M, 5.42, 13307765.00, 51.18
Gujarat, 31-03-2019, M, 4.05, 14489544.00, 54.84
Gujarat, 30-04-2019, M, 2.73, 14011137.00, 52.24
Gujarat, 31-05-2019, M, 2.88, 13954726.00, 52.03
Gujarat, 30-06-2019, M, 4.77, 13199275.00, 50.12
Gujarat, 31-07-2019, M, 4.58, 14327088.00, 54.21
Gujarat, 31-08-2019, M, 3.70, 13507339.00, 50.57
Gujarat, 30-09-2019, M, 6.29, 13280777.00, 51.01
Gujarat, 31-10-2019, M, 4.91, 13828523.00, 52.27
Gujarat, 30-11-2019, M, 4.68, 14487815.00, 54.55
Gujarat, 31-12-2019, M, 3.46, 13877824.00, 51.51
Gujarat, 31-01-2020, M, 5.35, 14301844.00, 54.07
Gujarat, 29-02-2020, M, 6.64, 13973042.00, 53.48
Gujarat, 31-03-2020, M, 7.59, 13483615.00, 52.06
Gujarat, 30-04-2020, M, 12.00, 8587594.00, 34.77
Gujarat, 31-05-2020, M, 12.56, 11740781.00, 47.76
Gujarat, 30-06-2020, M, 1.39, 13270426.00, 47.80
Gujarat, 31-07-2020, M, 0.58, 13895092.00, 49.57
Gujarat, 31-08-2020, M, 0.95, 12611779.00, 45.09
Gujarat, 30-09-2020, M, 3.24, 15008970.00, 54.85
Gujarat, 31-10-2020, M, 2.70, 14534338.00, 52.74
Gujarat, 30-11-2020, M, 4.58, 14315192.00, 52.89
Gujarat, 31-12-2020, M, 1.30, 11784046.00, 42.03
Gujarat, 31-01-2021, M, 3.11, 13893075.00, 50.40
Gujarat, 28-02-2021, M, 3.03, 13470268.00, 48.76
Gujarat, 31-03-2021, M, 2.15, 14357667.00, 51.43
Gujarat, 30-04-2021, M, 1.61, 13739426.00, 48.87
Gujarat, 31-05-2021, M, 2.34, 13711252.00, 49.06
Gujarat, 30-06-2021, M, 1.54, 14206021.00, 50.35
Gujarat, 31-07-2021, M, 0.97, 14920938.00, 52.50
Gujarat, 31-08-2021, M, 1.19, 13146704.00, 46.29
Gujarat, 30-09-2021, M, 0.68, 14492546.00, 50.69
Gujarat, 31-10-2021, M, 2.81, 14685331.00, 52.41
Gujarat, 30-11-2021, M, 0.77, 14769944.00, 51.56
Gujarat, 31-12-2021, M, 1.23, 13874150.00, 48.58
Gujarat, 31-01-2022, M, 1.10, 14594671.00, 50.96
Gujarat, 28-02-2022, M, 2.20, 15063202.00, 53.12
Gujarat, 31-03-2022, M, 1.53, 14744388.00, 51.56
Gujarat, 30-04-2022, M, 1.22, 14416320.00, 50.18
Gujarat, 31-05-2022, M, 2.57, 14493462.00, 51.07
Gujarat, 30-06-2022, M, 3.43, 13650247.00, 48.46
Gujarat, 31-07-2022, M, 2.06, 15221935.00, 53.20
Gujarat, 31-08-2022, M, 3.34, 13103274.00, 46.33
Gujarat, 30-09-2022, M, 1.66, 14859898.00, 51.57
Gujarat, 31-10-2022, M, 0.88, 15902842.00, 54.67
Gujarat, 30-11-2022, M, 3.37, 13875396.00, 48.86
Gujarat, 31-12-2022, M, 2.03, 14172351.00, 49.15
Gujarat, 31-01-2023, M, 2.58, 14131471.00, 49.21
Gujarat, 28-02-2023, M, 1.55, 15178114.00, 52.23
Haryana, 31-01-2016, M, 12.75, 5166429.00, 46.74
Haryana, 29-02-2016, M, 9.55, 5107763.00, 44.50
Haryana, 31-03-2016, M, 7.36, 5354862.00, 45.47
Haryana, 30-04-2016, M, 12.03, 5028469.00, 44.88
Haryana, 31-05-2016, M, 7.10, 5356324.00, 45.19
Haryana, 30-06-2016, M, 10.31, 4823368.00, 42.08
Haryana, 31-07-2016, M, 8.63, 4976264.00, 42.53
Haryana, 31-08-2016, M, 17.06, 4969421.00, 46.70
Haryana, 30-09-2016, M, 3.41, 5267062.00, 42.43
Haryana, 31-10-2016, M, 8.53, 4966838.00, 42.17
Haryana, 30-11-2016, M, 4.91, 5110195.00, 41.67
Haryana, 31-12-2016, M, 18.79, 4538689.00, 43.25
Haryana, 31-01-2017, M, 5.32, 5085276.00, 41.49
Haryana, 28-02-2017, M, 8.32, 4920716.00, 41.39
Haryana, 31-03-2017, M, 4.49, 4619780.00, 37.23
Haryana, 30-04-2017, M, 1.92, 4293016.00, 33.64
Haryana, 31-05-2017, M, 0.92, 4802740.00, 37.18
Haryana, 30-06-2017, M, 4.01, 4949445.00, 39.48
Haryana, 31-07-2017, M, 6.83, 4750170.00, 38.96
Haryana, 31-08-2017, M, 0.41, 4506125.00, 34.52
Haryana, 30-09-2017, M, 10.22, 5170890.00, 43.86
Haryana, 31-10-2017, M, 14.89, 4996948.00, 44.63
Haryana, 30-11-2017, M, 15.67, 4808009.00, 43.26
Haryana, 31-12-2017, M, 22.05, 4676789.00, 45.44
Haryana, 31-01-2018, M, 10.59, 5001436.00, 42.29
Haryana, 28-02-2018, M, 17.43, 4840912.00, 44.25
Haryana, 31-03-2018, M, 12.50, 4786117.00, 41.21
Haryana, 30-04-2018, M, 23.72, 4614001.00, 45.49
Haryana, 31-05-2018, M, 11.25, 5007325.00, 42.35
Haryana, 30-06-2018, M, 15.44, 4860036.00, 43.06
Haryana, 31-07-2018, M, 12.57, 4867627.00, 41.64
Haryana, 31-08-2018, M, 25.09, 4691544.00, 46.76
Haryana, 30-09-2018, M, 14.01, 5060749.00, 43.86
Haryana, 31-10-2018, M, 18.67, 4842527.00, 44.29
Haryana, 30-11-2018, M, 17.34, 4765000.00, 42.80
Haryana, 31-12-2018, M, 25.59, 4636216.00, 46.18
Haryana, 31-01-2019, M, 14.00, 5057731.00, 43.51
Haryana, 28-02-2019, M, 21.05, 4759841.00, 44.53
Haryana, 31-03-2019, M, 16.01, 4719152.00, 41.43
Haryana, 30-04-2019, M, 27.78, 4521365.00, 46.07
Haryana, 31-05-2019, M, 14.54, 5249186.00, 45.12
Haryana, 30-06-2019, M, 23.08, 4745178.00, 45.23
Haryana, 31-07-2019, M, 16.22, 4826560.00, 42.17
Haryana, 31-08-2019, M, 30.94, 4558306.00, 48.23
Haryana, 30-09-2019, M, 16.29, 5137903.00, 44.76
Haryana, 31-10-2019, M, 24.17, 4798831.00, 46.07
Haryana, 30-11-2019, M, 16.59, 4875762.00, 42.48
Haryana, 31-12-2019, M, 29.56, 4603482.00, 47.40
Haryana, 31-01-2020, M, 16.21, 5062293.00, 43.74
Haryana, 29-02-2020, M, 27.19, 4570108.00, 45.37
Haryana, 31-03-2020, M, 23.92, 4366148.00, 41.40
Haryana, 30-04-2020, M, 41.61, 4041050.00, 49.85
Haryana, 31-05-2020, M, 23.70, 4424785.00, 41.69
Haryana, 30-06-2020, M, 25.80, 4594282.00, 44.43
Haryana, 31-07-2020, M, 17.62, 4440170.00, 38.61
Haryana, 31-08-2020, M, 32.01, 4594011.00, 48.31
Haryana, 30-09-2020, M, 13.32, 4728711.00, 38.93
Haryana, 31-10-2020, M, 30.51, 4222454.00, 43.29
Haryana, 30-11-2020, M, 17.17, 4691436.00, 40.28
Haryana, 31-12-2020, M, 29.01, 4274940.00, 42.74
Haryana, 31-01-2021, M, 11.07, 4949138.00, 39.43
Haryana, 28-02-2021, M, 29.80, 4273138.00, 43.06
Haryana, 31-03-2021, M, 21.52, 4834960.00, 43.49
Haryana, 30-04-2021, M, 31.00, 4435071.00, 45.30
Haryana, 31-05-2021, M, 20.42, 4330493.00, 38.28
Haryana, 30-06-2021, M, 29.70, 4305061.00, 43.00
Haryana, 31-07-2021, M, 21.00, 4559615.00, 40.45
Haryana, 31-08-2021, M, 33.57, 4454763.00, 46.92
Haryana, 30-09-2021, M, 15.42, 4717705.00, 38.95
Haryana, 31-10-2021, M, 35.77, 4189421.00, 45.47
Haryana, 30-11-2021, M, 23.10, 4527422.00, 40.97
Haryana, 31-12-2021, M, 30.56, 4667989.00, 46.69
Haryana, 31-01-2022, M, 18.46, 4802705.00, 40.84
Haryana, 28-02-2022, M, 35.76, 4191860.00, 45.16
Haryana, 31-03-2022, M, 18.06, 4479089.00, 37.77
Haryana, 30-04-2022, M, 31.51, 4496478.00, 45.28
Haryana, 31-05-2022, M, 19.57, 4761629.00, 40.75
Haryana, 30-06-2022, M, 34.11, 4185421.00, 43.65
Haryana, 31-07-2022, M, 19.08, 4500625.00, 38.15
Haryana, 31-08-2022, M, 34.95, 4519901.00, 47.57
Haryana, 30-09-2022, M, 17.89, 4800281.00, 39.96
Haryana, 31-10-2022, M, 35.22, 4338595.00, 45.69
Haryana, 30-11-2022, M, 24.16, 4741043.00, 42.57
Haryana, 31-12-2022, M, 34.86, 4530523.00, 47.27
Haryana, 31-01-2023, M, 16.98, 5099426.00, 41.67
Haryana, 28-02-2023, M, 32.25, 4501539.00, 45.01
Himachal Pradesh, 31-01-2016, M, 3.27, 2000786.00, 41.24
Himachal Pradesh, 29-02-2016, M, 3.57, 1970430.00, 40.68
Himachal Pradesh, 31-03-2016, M, 5.85, 2100552.00, 44.34
Himachal Pradesh, 30-04-2016, M, 3.18, 1765170.00, 36.18
Himachal Pradesh, 31-05-2016, M, 4.38, 2032688.00, 42.11
Himachal Pradesh, 30-06-2016, M, 1.12, 2027298.00, 40.55
Himachal Pradesh, 31-07-2016, M, 9.24, 2018840.00, 43.91
Himachal Pradesh, 31-08-2016, M, 3.85, 1865352.00, 38.24
Himachal Pradesh, 30-09-2016, M, 1.90, 2044719.00, 41.02
Himachal Pradesh, 31-10-2016, M, 0.58, 2012823.00, 39.77
Himachal Pradesh, 30-11-2016, M, 4.24, 2092519.00, 42.86
Himachal Pradesh, 31-12-2016, M, 1.37, 2054390.00, 40.78
Himachal Pradesh, 31-01-2017, M, 1.69, 2104469.00, 41.84
Himachal Pradesh, 28-02-2017, M, 2.33, 2084263.00, 41.65
Himachal Pradesh, 31-03-2017, M, 2.67, 2223547.00, 44.51
Himachal Pradesh, 30-04-2017, M, 0.00, 2064632.00, 40.16
Himachal Pradesh, 31-05-2017, M, 1.95, 2095865.00, 41.51
Himachal Pradesh, 30-06-2017, M, 1.23, 2073500.00, 40.70
Himachal Pradesh, 31-07-2017, M, 2.58, 2015874.00, 40.05
Himachal Pradesh, 31-08-2017, M, 0.69, 2093342.00, 40.73
Himachal Pradesh, 30-09-2017, M, 4.90, 2112658.00, 42.86
Himachal Pradesh, 31-10-2017, M, 4.64, 2022287.00, 40.84
Himachal Pradesh, 30-11-2017, M, 14.40, 2129469.00, 47.83
Himachal Pradesh, 31-12-2017, M, 11.11, 2111612.00, 45.60
Himachal Pradesh, 31-01-2018, M, 12.77, 2033763.00, 44.68
Himachal Pradesh, 28-02-2018, M, 8.81, 1938777.00, 40.68
Himachal Pradesh, 31-03-2018, M, 15.10, 2001643.00, 45.04
Himachal Pradesh, 30-04-2018, M, 16.96, 2040394.00, 46.86
Himachal Pradesh, 31-05-2018, M, 13.81, 2030015.00, 44.84
Himachal Pradesh, 30-06-2018, M, 11.11, 1941319.00, 41.51
Himachal Pradesh, 31-07-2018, M, 17.70, 1956462.00, 45.11
Himachal Pradesh, 31-08-2018, M, 17.09, 2006877.00, 45.85
Himachal Pradesh, 30-09-2018, M, 14.53, 2085719.00, 46.15
Himachal Pradesh, 31-10-2018, M, 12.44, 1982012.00, 42.74
Himachal Pradesh, 30-11-2018, M, 19.32, 2094338.00, 48.94
Himachal Pradesh, 31-12-2018, M, 18.67, 2013285.00, 46.58
Himachal Pradesh, 31-01-2019, M, 14.29, 2052608.00, 44.99
Himachal Pradesh, 28-02-2019, M, 13.33, 1988122.00, 43.03
Himachal Pradesh, 31-03-2019, M, 18.55, 1957550.00, 45.01
Himachal Pradesh, 30-04-2019, M, 19.18, 1988817.00, 46.01
Himachal Pradesh, 31-05-2019, M, 13.68, 2045761.00, 44.23
Himachal Pradesh, 30-06-2019, M, 11.43, 1957081.00, 41.18
Himachal Pradesh, 31-07-2019, M, 20.59, 1916824.00, 44.91
Himachal Pradesh, 31-08-2019, M, 18.56, 1969248.00, 44.91
Himachal Pradesh, 30-09-2019, M, 15.98, 2039804.00, 45.02
Himachal Pradesh, 31-10-2019, M, 15.81, 1946957.00, 42.81
Himachal Pradesh, 30-11-2019, M, 22.86, 2024409.00, 48.50
Himachal Pradesh, 31-12-2019, M, 19.46, 1922821.00, 44.05
Himachal Pradesh, 31-01-2020, M, 16.67, 2041035.00, 45.11
Himachal Pradesh, 29-02-2020, M, 15.42, 1952464.00, 42.45
Himachal Pradesh, 31-03-2020, M, 17.71, 1800426.00, 40.17
Himachal Pradesh, 30-04-2020, M, 2.13, 984171.00, 18.43
Himachal Pradesh, 31-05-2020, M, 25.64, 1732050.00, 42.62
Himachal Pradesh, 30-06-2020, M, 12.85, 1981244.00, 41.53
Himachal Pradesh, 31-07-2020, M, 24.06, 2013770.00, 48.36
Himachal Pradesh, 31-08-2020, M, 14.05, 1801879.00, 38.17
Himachal Pradesh, 30-09-2020, M, 11.36, 2008871.00, 41.20
Himachal Pradesh, 31-10-2020, M, 13.42, 1913360.00, 40.10
Himachal Pradesh, 30-11-2020, M, 15.57, 1760074.00, 37.77
Himachal Pradesh, 31-12-2020, M, 7.02, 1953491.00, 38.00
Himachal Pradesh, 31-01-2021, M, 11.43, 2019761.00, 41.18
Himachal Pradesh, 28-02-2021, M, 15.50, 1867240.00, 39.84
Himachal Pradesh, 31-03-2021, M, 13.84, 1706608.00, 35.65
Himachal Pradesh, 30-04-2021, M, 10.53, 1789783.00, 35.95
Himachal Pradesh, 31-05-2021, M, 6.85, 2026996.00, 39.04
Himachal Pradesh, 30-06-2021, M, 17.19, 1750982.00, 37.87
Himachal Pradesh, 31-07-2021, M, 14.62, 1806499.00, 37.83
Himachal Pradesh, 31-08-2021, M, 4.03, 1867380.00, 34.73
Himachal Pradesh, 30-09-2021, M, 7.94, 1721976.00, 33.33
Himachal Pradesh, 31-10-2021, M, 14.58, 1732702.00, 36.09
Himachal Pradesh, 30-11-2021, M, 13.29, 1684046.00, 34.50
Himachal Pradesh, 31-12-2021, M, 9.35, 1763174.00, 34.49
Himachal Pradesh, 31-01-2022, M, 14.40, 1638014.00, 33.88
Himachal Pradesh, 28-02-2022, M, 12.41, 1620270.00, 32.70
Himachal Pradesh, 31-03-2022, M, 11.30, 1545537.00, 30.75
Himachal Pradesh, 30-04-2022, M, 0.00, 1732013.00, 30.51
Himachal Pradesh, 31-05-2022, M, 9.76, 1824045.00, 35.55
Himachal Pradesh, 30-06-2022, M, 10.74, 1737465.00, 34.18
Himachal Pradesh, 31-08-2022, M, 5.56, 1295224.00, 24.00
Himachal Pradesh, 30-09-2022, M, 8.75, 2038137.00, 39.02
Himachal Pradesh, 31-10-2022, M, 9.57, 1801360.00, 34.74
Himachal Pradesh, 30-11-2022, M, 7.69, 1875108.00, 35.37
Himachal Pradesh, 31-12-2022, M, 6.32, 2015531.00, 37.40
Himachal Pradesh, 31-01-2023, M, 10.24, 1954921.00, 37.80
Himachal Pradesh, 28-02-2023, M, 13.51, 1709818.00, 34.26
Jammu & Kashmir, 31-01-2016, M, 11.52, 2456244.00, 42.68
Jammu & Kashmir, 29-02-2016, M, 18.62, 2299744.00, 43.36
Jammu & Kashmir, 31-03-2016, M, 11.52, 2413465.00, 41.77
Jammu & Kashmir, 30-04-2016, M, 5.29, 2619857.00, 42.27
Jammu & Kashmir, 31-05-2016, M, 22.68, 2366341.00, 46.67
Jammu & Kashmir, 30-06-2016, M, 21.38, 2427365.00, 47.00
Jammu & Kashmir, 31-07-2016, M, 17.04, 2416967.00, 44.25
Jammu & Kashmir, 31-08-2016, M, 25.00, 2664982.00, 53.86
Jammu & Kashmir, 30-09-2016, M, 26.74, 2256905.00, 46.60
Jammu & Kashmir, 31-10-2016, M, 25.76, 2304905.00, 46.87
Jammu & Kashmir, 30-11-2016, M, 34.33, 2157865.00, 49.51
Jammu & Kashmir, 31-12-2016, M, 22.89, 2722685.00, 53.09
Jammu & Kashmir, 31-01-2017, M, 25.00, 2240329.00, 44.82
Jammu & Kashmir, 28-02-2017, M, 7.05, 2450978.00, 39.49
Jammu & Kashmir, 31-03-2017, M, 22.70, 2426854.00, 46.92
Jammu & Kashmir, 30-04-2017, M, 19.54, 2676450.00, 49.62
Jammu & Kashmir, 31-05-2017, M, 9.85, 2304774.00, 38.06
Jammu & Kashmir, 30-06-2017, M, 8.79, 2367608.00, 38.57
Jammu & Kashmir, 31-07-2017, M, 7.78, 2361216.00, 37.96
Jammu & Kashmir, 31-08-2017, M, 6.31, 2734692.00, 43.19
Jammu & Kashmir, 30-09-2017, M, 13.44, 2391408.00, 40.80
Jammu & Kashmir, 31-10-2017, M, 10.99, 2424483.00, 40.14
Jammu & Kashmir, 30-11-2017, M, 12.86, 2498696.00, 42.17
Jammu & Kashmir, 31-12-2017, M, 12.76, 2693199.00, 45.31
Jammu & Kashmir, 31-01-2018, M, 6.87, 2435760.00, 38.31
Jammu & Kashmir, 28-02-2018, M, 15.89, 2258418.00, 39.25
Jammu & Kashmir, 31-03-2018, M, 14.35, 2529950.00, 43.09
Jammu & Kashmir, 30-04-2018, M, 10.14, 2786778.00, 45.15
Jammu & Kashmir, 31-05-2018, M, 7.98, 2511807.00, 39.66
Jammu & Kashmir, 30-06-2018, M, 11.44, 2296539.00, 37.61
Jammu & Kashmir, 31-07-2018, M, 8.46, 2515607.00, 39.77
Jammu & Kashmir, 31-08-2018, M, 6.99, 2759042.00, 42.84
Jammu & Kashmir, 30-09-2018, M, 13.01, 2378621.00, 39.41
Jammu & Kashmir, 31-10-2018, M, 12.92, 2170451.00, 35.85
Jammu & Kashmir, 30-11-2018, M, 10.58, 2409452.00, 38.68
Jammu & Kashmir, 31-12-2018, M, 8.24, 2703612.00, 42.21
Jammu & Kashmir, 31-01-2019, M, 14.60, 2453894.00, 41.08
Jammu & Kashmir, 28-02-2019, M, 13.30, 2366325.00, 38.95
Jammu & Kashmir, 31-03-2019, M, 13.73, 2582126.00, 42.62
Jammu & Kashmir, 30-04-2019, M, 8.73, 2828192.00, 44.04
Jammu & Kashmir, 31-05-2019, M, 12.78, 2495186.00, 40.57
Jammu & Kashmir, 30-06-2019, M, 12.09, 2423742.00, 39.02
Jammu & Kashmir, 31-07-2019, M, 13.67, 2549315.00, 41.71
Jammu & Kashmir, 31-08-2019, M, 11.32, 2778624.00, 44.17
Jammu & Kashmir, 30-09-2019, M, 20.19, 2244333.00, 39.56
Jammu & Kashmir, 31-10-2019, M, 19.27, 2477621.00, 43.08
Jammu & Kashmir, 30-11-2019, M, 14.73, 2415724.00, 39.69
Jammu & Kashmir, 31-01-2020, M, 22.19, 2373488.00, 42.56
Jammu & Kashmir, 29-02-2020, M, 21.23, 2163397.00, 38.25
Jammu & Kashmir, 31-03-2020, M, 16.00, 2361004.00, 39.06
Jammu & Kashmir, 31-05-2020, M, 20.87, 2309058.00, 40.39
Jammu & Kashmir, 30-06-2020, M, 18.97, 2049617.00, 34.94
Jammu & Kashmir, 31-07-2020, M, 12.16, 2455781.00, 38.54
Jammu & Kashmir, 31-08-2020, M, 9.86, 2398006.00, 36.60
Jammu & Kashmir, 30-09-2020, M, 16.67, 2276081.00, 37.50
Jammu & Kashmir, 31-10-2020, M, 18.99, 2103975.00, 35.59
Jammu & Kashmir, 30-11-2020, M, 6.19, 2061655.00, 30.05
Jammu & Kashmir, 31-01-2021, M, 20.35, 2250612.00, 38.48
Jammu & Kashmir, 28-02-2021, M, 13.41, 2016760.00, 31.66
Jammu & Kashmir, 31-03-2021, M, 9.33, 2097497.00, 31.38
Jammu & Kashmir, 30-04-2021, M, 10.53, 2700551.00, 40.86
Jammu & Kashmir, 31-05-2021, M, 9.05, 2367082.00, 35.16
Jammu & Kashmir, 30-06-2021, M, 6.67, 2264323.00, 32.71
Jammu & Kashmir, 31-07-2021, M, 14.98, 2295211.00, 36.32
Jammu & Kashmir, 31-08-2021, M, 11.71, 2653998.00, 40.36
Jammu & Kashmir, 30-09-2021, M, 21.34, 2315040.00, 39.44
Jammu & Kashmir, 31-10-2021, M, 21.92, 2120544.00, 36.32
Jammu & Kashmir, 30-11-2021, M, 22.71, 2331779.00, 40.27
Jammu & Kashmir, 31-12-2021, M, 11.54, 2886120.00, 43.45
Jammu & Kashmir, 31-01-2022, M, 16.19, 2251958.00, 35.71
Jammu & Kashmir, 28-02-2022, M, 9.85, 2228509.00, 32.80
Jammu & Kashmir, 31-03-2022, M, 21.62, 2265948.00, 38.28
Jammu & Kashmir, 30-04-2022, M, 12.94, 2522748.00, 38.29
Jammu & Kashmir, 31-05-2022, M, 16.88, 2333497.00, 37.02
Jammu & Kashmir, 30-06-2022, M, 14.93, 2221249.00, 34.36
Jammu & Kashmir, 31-07-2022, M, 20.78, 2249376.00, 37.29
Jammu & Kashmir, 30-09-2022, M, 22.64, 2455391.00, 41.51
Jammu & Kashmir, 31-10-2022, M, 21.10, 2240345.00, 37.06
